 Target | All Node Timing - Unsorted | Early Break Timing - Unsorted | All Node Timing - PQ | Early Break Timing - PQ
(251, 251) | 8.220258439003373 | 0.03361390899954131| 27.753051535997656 | 0.034036425000522286
(252, 252) | 8.24086182499741 | 0.03333467400079826| 28.246430279003107 | 0.03250927300541662
(253, 253) | 8.235994061004021 | 0.03287001799617428| 27.87652936900122 | 0.031927301999530755
(254, 254) | 8.41445732700231 | 0.03544901100394782| 27.655801009001152 | 0.03287224400264677
(255, 255) | 8.342014495996409 | 0.032876180004677735| 27.604089193002437 | 0.032048401997599285
(256, 256) | 8.273498254005972 | 0.03275977300654631| 28.013051091002126 | 0.0363243500032695
(257, 257) | 8.2837568870018 | 0.03337306799949147| 27.670900190001703 | 0.03285293000226375
(258, 258) | 8.083009376998234 | 0.033660844004771207| 27.989613851001195 | 0.032720805997087155
(259, 259) | 8.229282643995248 | 0.033600868002395146| 27.77097662199958 | 0.0364947670022957
(260, 260) | 8.230840764001186 | 0.03388659300253494| 28.02291284399689 | 0.035518061005859636
(261, 261) | 8.110293890997127 | 0.03833977299655089| 28.374356068998168 | 0.03677362000598805
(262, 262) | 8.481556575003196 | 0.04158973699668422| 28.38103411799966 | 0.03674381200107746
(263, 263) | 8.506435858005716 | 0.040881767999962904| 28.77136631200119 | 0.0422260470004403
(264, 264) | 8.282886834997043 | 0.04096534899872495| 28.5317426709953 | 0.043434172999695875
(265, 265) | 8.500118748001114 | 0.04069976600294467| 28.139174750001985 | 0.042716393996670377
(266, 266) | 8.53465664700343 | 0.040402968996204436| 28.32412244399893 | 0.044212977001734544
(267, 267) | 8.305139478005003 | 0.04451277000043774| 28.10365917300078 | 0.04374414300400531
(268, 268) | 8.441262018997804 | 0.04643876599584473| 28.249518764998356 | 0.048466368003573734
(269, 269) | 8.250600450002821 | 0.04336711100040702| 28.57783231200301 | 0.04781003999960376
(270, 270) | 8.53314876800141 | 0.04471568900044076| 28.34096165799565 | 0.054425638998509385
(271, 271) | 8.254396190000989 | 0.05096817400044529| 28.002668376000656 | 0.06749135100108106
(272, 272) | 8.144782673000009 | 0.0516270629959763| 28.038187525999092 | 0.0693996080008219
(273, 273) | 8.163610003997746 | 0.053435027999512386| 28.0187336040035 | 0.07351455299794907
(274, 274) | 8.339941947000625 | 0.054685775001416914| 28.23583318499732 | 0.08013923100224929
(275, 275) | 8.507316359995457 | 0.06345391699869651| 28.223790937001468 | 0.08792776900372701
(276, 276) | 8.367937992996303 | 0.053314657998271286| 28.971190578995447 | 0.0891677979961969
(277, 277) | 8.736381593997066 | 0.0650253369967686| 27.950518919999013 | 0.10611269299988635
(278, 278) | 8.270014084999275 | 0.06225252299918793| 27.9522250969967 | 0.11264993700024206
