 Target | All Node Timing | Early Break Timing
(251, 251) | 8.425306664998061 | 0.03413684499901137
(252, 252) | 8.642042945997673 | 0.03166738299842109
(253, 253) | 8.61257802000182 | 0.034610148999490775
(254, 254) | 8.78858016400045 | 0.03296822899937979
(255, 255) | 8.612604368001485 | 0.03279613700215123
(256, 256) | 8.663796755998192 | 0.033038661000318825
(257, 257) | 8.887473008002416 | 0.039119677003327524
(258, 258) | 8.751174279001134 | 0.03941838199898484
(259, 259) | 8.563766913997824 | 0.038052318999689305
(260, 260) | 8.565251780997642 | 0.03899707700111321
(261, 261) | 8.576036941001803 | 0.04123253299985663
(262, 262) | 8.561773407000146 | 0.039786509001714876
(263, 263) | 8.273805361000996 | 0.040061307001451496
(264, 264) | 8.759296274001827 | 0.040771674997813534
(265, 265) | 8.565475291998155 | 0.045124357002350735
(266, 266) | 8.413606629001151 | 0.04215544799808413
(267, 267) | 8.563437103999604 | 0.0436098120007955
(268, 268) | 8.61043292499744 | 0.04738844900202821
(269, 269) | 8.577435822000552 | 0.04644473999724141
(270, 270) | 8.972706532000302 | 0.05144312999982503
(271, 271) | 8.762878714998806 | 0.05139879800117342
(272, 272) | 8.653301721999014 | 0.05082977399797528
(273, 273) | 8.925965684997209 | 0.05295274599848199
(274, 274) | 8.908725473000231 | 0.056604117999086156
(275, 275) | 8.685527350000484 | 0.06063104900022154
(276, 276) | 8.92298860899973 | 0.05970639199949801
(277, 277) | 9.16732980100278 | 0.0705026049981825
(278, 278) | 8.52779475600255 | 0.0755276430027152
(279, 279) | 8.44034118199852 | 0.07625209999969229
(280, 280) | 8.67417931700038 | 0.08248061899939785
(281, 281) | 8.624570113999653 | 0.08505436300038127
(282, 282) | 8.770823373000894 | 0.08851625100214733
(283, 283) | 8.73964342799809 | 0.10927083199931076
(284, 284) | 8.693647578002128 | 0.1065174540017324
(285, 285) | 8.523774500998115 | 0.10596857200289378
(286, 286) | 8.653259972001251 | 0.11738588800290017
(287, 287) | 8.763204355000198 | 0.11485153700050432
(288, 288) | 8.907164573000045 | 0.11714521699832403
(289, 289) | 8.605018270001892 | 0.12499430300158565
(290, 290) | 8.603574450000451 | 0.13394626200170023
(291, 291) | 9.025168003001454 | 0.14320343900180887
(292, 292) | 8.891131678999955 | 0.1467113540020364
(293, 293) | 8.98341778199756 | 0.15202609300104086
(294, 294) | 8.979995220001001 | 0.15925620599955437
(295, 295) | 8.929031791998568 | 0.17675059199973475
(296, 296) | 8.909378725998977 | 0.20114652299889713
(297, 297) | 8.755642883999826 | 0.1921069929994701
(298, 298) | 8.586407913997391 | 0.2608338370009733
(299, 299) | 8.614260040998488 | 0.20470686399858096
(300, 300) | 8.911775767999643 | 0.21045477999723516
(301, 301) | 8.646938355999737 | 0.22071021100055077
(302, 302) | 8.715952002003178 | 0.22164409100150806
(303, 303) | 8.43255848300032 | 0.22996427500038408
(304, 304) | 8.633382963998883 | 0.24659601799794473
(305, 305) | 8.725827663001837 | 0.273558133001643
(306, 306) | 8.726822706998064 | 0.308868510001048
(307, 307) | 9.133864131999871 | 0.31185881300189067
(308, 308) | 8.87160812699949 | 0.32601277999856393
(309, 309) | 8.575542380000115 | 0.3071989249983744
(310, 310) | 8.4937302119979 | 0.3245852139989438
(311, 311) | 8.60259904099803 | 0.33552244000020437
(312, 312) | 8.643799331999617 | 0.3747920830028306
(313, 313) | 8.796066964001511 | 0.3623115059999691
(314, 314) | 8.945096508999995 | 0.39291907900042133
(315, 315) | 8.755587600997387 | 0.41534638599841855
(316, 316) | 8.781380525000714 | 0.4390163499992923
(317, 317) | 9.160749513001065 | 0.4189614220013027
(318, 318) | 8.434142252997844 | 0.4395769010006916
(319, 319) | 8.500931814000069 | 0.4586000070012233
(320, 320) | 8.90617652400033 | 0.5029092779986968
(321, 321) | 8.857626418001018 | 0.5132411800004775
(322, 322) | 8.747979342002509 | 0.5280554250020941
(323, 323) | 8.685008086002199 | 0.5703396669996437
(324, 324) | 8.752429510001093 | 0.6056330799983698
(325, 325) | 8.767555223999807 | 0.6043837939978403
(326, 326) | 8.613539719000983 | 0.7909849110001232
(327, 327) | 8.817069742999593 | 0.665626837999298
(328, 328) | 8.630527671000891 | 0.742547026999091
(329, 329) | 8.677476386998023 | 0.8017541689987411
(330, 330) | 8.357031376002851 | 0.7704014600021765
(331, 331) | 8.306089306999638 | 0.7341668980006943
(332, 332) | 8.277411680999649 | 0.8450219350015686
(333, 333) | 8.802080658002524 | 0.8091671180009143
(334, 334) | 8.604458167003031 | 0.8522111759994004
(335, 335) | 8.832237634000194 | 0.9229361030011205
(336, 336) | 8.714875467998354 | 0.9319061440000951
(337, 337) | 8.562963645999844 | 0.9360035700010485
(338, 338) | 8.62149892799789 | 1.0462697359980666
(339, 339) | 8.782306918001268 | 1.0557506250006554
(340, 340) | 8.480102376001014 | 1.1364911229975405
(341, 341) | 8.427820032000454 | 1.074865556001896
(342, 342) | 8.580374536002637 | 1.1161395630006155
(343, 343) | 8.516667230996973 | 1.2755360669980291
(344, 344) | 8.647900888998265 | 1.1814660009986255
(345, 345) | 8.50644292799916 | 1.2402791419990535
(346, 346) | 8.61078470099892 | 1.123491803999059
(347, 347) | 8.775324647998787 | 1.1589926119995653
(348, 348) | 8.56059291299971 | 1.2372758249985054
(349, 349) | 8.465805585001362 | 1.3278198890002386
(350, 350) | 8.746766149000905 | 1.4296512280016032
(351, 351) | 8.320400602002337 | 1.4316024940017087
(352, 352) | 8.459636711999337 | 1.4647225219996471
(353, 353) | 8.300686179998593 | 1.438661610998679
(354, 354) | 8.491772544999549 | 1.4209586530014349
(355, 355) | 8.267678901000181 | 1.5442546189988207
(356, 356) | 8.279372085999057 | 1.5990779840030882
(357, 357) | 8.351868644000206 | 1.6826814820014988
(358, 358) | 8.422654865000368 | 1.6313193129972205
(359, 359) | 8.248796918000153 | 1.649494973000401
(360, 360) | 8.262694508001005 | 1.6831405720004113
(361, 361) | 8.251058474001184 | 1.8837933530012378
(362, 362) | 8.318181513997843 | 1.8997734130025492
(363, 363) | 8.170067958999425 | 1.8684177620016271
(364, 364) | 8.400802845000726 | 1.9798550880004768
(365, 365) | 8.275096895002207 | 1.8362781040013942
(366, 366) | 8.428361080001196 | 1.9452818949976063
(367, 367) | 8.259330370001408 | 2.0131207660015207
(368, 368) | 8.353940507997322 | 2.053247628999088
(369, 369) | 8.184752362001745 | 2.1405972900029155
(370, 370) | 8.29931385799864 | 2.1547863349987892
(371, 371) | 8.214302780997969 | 2.2363280309982656
(372, 372) | 8.254088578996743 | 2.283555467998667
(373, 373) | 8.288706150000507 | 2.252310767999006
(374, 374) | 8.208115950998035 | 2.4364464710015454
(375, 375) | 8.292150662000495 | 2.3521080509999592
(376, 376) | 8.247561972999392 | 2.6762527030005003
(377, 377) | 8.357106120001845 | 2.556850768000004
(378, 378) | 8.221998709002946 | 2.6905324319996
(379, 379) | 8.291299821998109 | 2.8780958829993324
(380, 380) | 8.320329473001038 | 2.6825166039998294
(381, 381) | 8.27650230799918 | 2.879814649000764
(382, 382) | 8.329068464998272 | 2.954518276001181
(383, 383) | 8.300726063000184 | 2.8187584600018454
(384, 384) | 8.295629797998117 | 2.922830083000008
(385, 385) | 8.294687137000437 | 3.098659700001008
(386, 386) | 8.229726452002069 | 3.090566694001609
(387, 387) | 8.224097661000997 | 3.2949139189986454
(388, 388) | 8.259153923998383 | 3.4656413639968378
(389, 389) | 8.418424751002021 | 3.370612918999541
(390, 390) | 8.377508058998501 | 3.4166362430005393
(391, 391) | 8.30483883999841 | 3.5370273619992076
(392, 392) | 8.21683886900064 | 3.5535463050000544
(393, 393) | 8.439132458999666 | 3.4642357189986797
(394, 394) | 8.198035925001022 | 3.6125048239991884
(395, 395) | 8.31420452599923 | 3.781303828000091
(396, 396) | 8.412589658997604 | 3.8648420669996995
(397, 397) | 8.306878134997532 | 3.8761555400014913
(398, 398) | 8.30393669499972 | 3.9612314110017905
(399, 399) | 8.340730857999006 | 4.059309166997991
(400, 400) | 8.330760676999489 | 4.08071045899851
(401, 401) | 8.341115442002774 | 4.270331724997959
(402, 402) | 8.242661206000776 | 4.40261250399999
(403, 403) | 8.233093974999065 | 4.383716191998246
(404, 404) | 8.502075727999909 | 4.424752631999581
(405, 405) | 8.542460887001653 | 4.475348716001463
(406, 406) | 8.957187334999617 | 4.8716731979984615
(407, 407) | 8.721436060997803 | 4.824852461999399
(408, 408) | 8.499554718000581 | 5.047608842000045
(409, 409) | 8.875862749002408 | 4.822791197999322
(410, 410) | 8.579381343002751 | 5.013347681997402
(411, 411) | 8.42542430300091 | 5.258396478999202
(412, 412) | 8.355738637001195 | 5.378383603001566
(413, 413) | 8.589110630000505 | 5.404716796001594
(414, 414) | 8.621687842001847 | 5.655051502999413
(415, 415) | 8.392088075001084 | 5.69844806400215
(416, 416) | 8.6073645150027 | 5.834337128002517
(417, 417) | 8.479546327998833 | 5.8522939210015466
(418, 418) | 8.55252178199953 | 6.143977892999828
(419, 419) | 8.588459642000089 | 6.173055465002108
(420, 420) | 8.65380763000212 | 6.058301531000325
(421, 421) | 8.918765734997578 | 6.574909917002515
(422, 422) | 8.929831894001836 | 6.558208755999658
(423, 423) | 8.817426593999699 | 6.76566988599734
(424, 424) | 8.459972176999145 | 6.478313919000357
(425, 425) | 8.570391722998465 | 6.880244088002655
(426, 426) | 8.678555192000204 | 6.805883765002363
(427, 427) | 8.521898443999817 | 6.888708290000068
(428, 428) | 8.744749473000411 | 7.057845864001138
(429, 429) | 8.646553924998443 | 7.449589708998246
(430, 430) | 8.362344317996758 | 7.465986788000009
(431, 431) | 8.899322602999746 | 7.463451996001822
(432, 432) | 8.495059607997973 | 7.7987020289983775
